00:000 00:000 AAPL: #[EB|LOG:INIT] 2021-04-06T00:44:51
00:002 00:002 AAPL: #[EB|VERSION] <"boot.efi 495.80.3~11 (Official), built 2020-12-21T21:10:06-0800">
00:004 00:001 AAPL: #[EB|BUILD] <"BUILD-INFO[298]:{"DisplayName":"boot.efi","DisplayVersion":"495.80.3~11","RecordUuid":"0B2238C1-809C-49D2-B102-CD53614FF265","BuildTime":"2020-12-21T21:10:06-0800","ProjectName":"efiboot","ProductName":"boot.efi","SourceVersion":"495.80.3","BuildVersion":"11","BuildConfiguration":"Release","BuildType":"Official"}">
00:005 00:001 AAPL: #[EB|CFG:DEV] r2 0x0 0x0
00:007 00:001 AAPL: #[EB|H:IS] 0
00:009 00:001 AAPL: #[EB|WL:MODE] 0
00:010 00:001 AAPL: #[EB|CFG:ARG] boot-save-log 0x0000000000000002 (0x0000000000000002 < 0xFFFFFFFFFFFFFFFF) default
00:012 00:001 AAPL: #[EB|CFG:ARG] wake-save-log 0x0000000000000002 (0x0000000000000002 < 0x0000000000000002) default
00:014 00:001 AAPL: #[EB|CFG:ARG] console       0x0000000000000001 (0x0000000000000001 < 0x0000000000000001) default
00:016 00:001 AAPL: #[EB|CFG:ARG] serial        0x0000000000000000 (0x0000000000000000 < 0x0000000000000000) default
00:017 00:001 AAPL: #[EB|CFG:ARG] embed-log-dt  0x0000000000000000 (0x0000000000000000 < 0x0000000000000000) default
00:019 00:001 AAPL: #[EB|CFG:ARG] timestamps    0x0000000000000000 (0x0000000000000000 < 0xFFFFFFFFFFFFFFFF) default
00:021 00:001 AAPL: #[EB|CFG:ARG] log-level     0x0000000000000001 (0x0000000000000001 & 0x0000000000000021) default
00:022 00:001 AAPL: #[EB|CFG:ARG] breakpoint    0x0000000000000000 (0x0000000000000000 & 0x0000000000000000) default
00:024 00:001 AAPL: #[EB|CFG:ARG] kc-read-size  0x0000000000100000 (0x0000000000100000 < 0xFFFFFFFFFFFFFFFF) default
00:026 00:001 AAPL: #[EB|H:IS] 0
00:030 00:004 AAPL: #[EB|WL] 0 0 0x01 0x01   0 0x00
00:032 00:001 AAPL: #[EB|BRD:NV] Mac-7BA5B2D9E42DDD94
00:034 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01   2 0x00
00:035 00:001 AAPL: #[EB.BST.IDT|+]
00:038 00:002 AAPL: #[EB.BST.IDT|-]
00:040 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01   3 0x00
00:041 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01   4 0x00
00:043 00:001 AAPL: #[EB|BRD:NV] Mac-7BA5B2D9E42DDD94
00:045 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01   5 0x00
00:046 00:001 AAPL: #[EB.H.CHK|BM] 0x0000000000000000
00:048 00:001 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.GV boot-signature 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:050 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01  23 0x0E
00:052 00:001 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.GV boot-image-key 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:053 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01  24 0x0E
00:055 00:001 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.GV boot-image 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:057 00:001 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.SV- boot-signature 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:059 00:001 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.SV- boot-image-key 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:061 00:001 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.SV- boot-image 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:062 00:001 AAPL: #[EB|H:NOT]
00:064 00:001 AAPL: #[EB|SB:P] 0x1
00:066 00:001 AAPL: #[EB.B.MN|BM:+SB]
00:068 00:001 AAPL: #[EB|LIMG:DP] Acpi(PNP0A03,0)/Pci(1|1)/Pci(0|0)/?[ 0x83 0x17 0x10 0x0 0x1 0x0 0x0 0x0 0x0 0x25 0x38 0x5A 0x1 0x45 0x75 0x98 ]/HD(Part5,SigB46ED30D-3726-4DB9-AB07-CDF6B101428A)/VenMedia(BE74FCF7-0B7C-49F3-9147-01F4042E6842)
00:070 00:001 AAPL: #[EB|LIMG:FP] \51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\System\Library\CoreServices\boot.efi
00:071 00:001 AAPL: #[EB|LIMG:OPT] 
00:073 00:001 AAPL: #[EB.OPT.LXF|F] <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\com.apple.Boot.plist">
00:075 00:001 AAPL: #[EB.LD.LF|IN] 0 1 <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\com.apple.Boot.plist"> <"0">
00:077 00:001 AAPL: #[EB.LD.OFS|OPEN!] Err(0xE) <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\com.apple.Boot.plist">
00:078 00:001 AAPL: #[EB.OPT.LXF|LF!] Err(0xE)
00:080 00:001 AAPL: #[EB.OPT.LXF|F] <"Library\\Preferences\\SystemConfiguration\\com.apple.Boot.plist">
00:082 00:001 AAPL: #[EB.LD.LF|IN] 0 1 <"Library\\Preferences\\SystemConfiguration\\com.apple.Boot.plist"> <"0">
00:084 00:002 AAPL: #[EB|KF] <"">
00:086 00:001 AAPL: #[EB|MBA:CL] <"">
00:088 00:001 AAPL: #[EB|MBA:NV] <"-v keepsyms=1 debug=0x100 alcid=1 agdpmod=pikera slide=247">
00:089 00:001 AAPL: #[EB|MBA:KF] <"">
00:091 00:001 AAPL: #[EB|MBA:OUT] <"-v keepsyms=1 debug=0x100 alcid=1 agdpmod=pikera slide=247 chunklist-security-epoch=0 -chunklist-no-rev2-dev">
00:093 00:001 AAPL: #[EB|LOG:VERBOSE] 2021-04-06T00:44:51
00:095 00:001 AAPL: #[EB.CSR.S|VAR] 0x00000040
00:097 00:001 AAPL: #[EB|OPT:BM] 0x280182
00:098 00:001 AAPL: #[EB.OPT.LXF|F] <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\PlatformSupport.plist">
00:100 00:001 AAPL: #[EB.LD.LF|IN] 0 1 <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\PlatformSupport.plist"> <"0">
00:102 00:002 AAPL: #[EB|B:VAw]
00:104 00:001 AAPL: #[EB|P:CPR] N
00:108 00:004 AAPL: #[EB|P:MPI] Y
00:110 00:001 AAPL: #[EB.P.DCMOSP|!] Err(0xE) <- RT.GV AAPL,PanicInfoLog 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:116 00:006 AAPL: #[EB|P:LOG1]
00:118 00:001 AAPL: #[EB|P:BPI] N
00:120 00:001 AAPL: 
00:122 00:001 AAPL: **************************************************
00:124 00:001 AAPL: This system was automatically rebooted after panic
00:125 00:001 AAPL: **************************************************
05:128 05:003 AAPL: #[EB|MBA:CL] <"-v keepsyms=1 debug=0x100 alcid=1 agdpmod=pikera slide=247 chunklist-security-epoch=0 -chunklist-no-rev2-dev">
05:130 00:001 AAPL: #[EB|MBA:NV] <"<null string>">
05:132 00:001 AAPL: #[EB|MBA:KF] <"<null string>">
