00:000 00:000 AAPL: #[EB|LOG:INIT] 2021-04-05T22:14:08
00:004 00:004 AAPL: #[EB|VERSION] <"boot.efi 495.80.3~11 (Official), built 2020-12-21T21:10:06-0800">
00:006 00:002 AAPL: #[EB|BUILD] <"BUILD-INFO[298]:{"DisplayName":"boot.efi","DisplayVersion":"495.80.3~11","RecordUuid":"0B2238C1-809C-49D2-B102-CD53614FF265","BuildTime":"2020-12-21T21:10:06-0800","ProjectName":"efiboot","ProductName":"boot.efi","SourceVersion":"495.80.3","BuildVersion":"11","BuildConfiguration":"Release","BuildType":"Official"}">
00:011 00:004 AAPL: #[EB|CFG:DEV] r2 0x0 0x0
00:013 00:002 AAPL: #[EB|H:IS] 0
00:018 00:004 AAPL: #[EB|WL:MODE] 0
00:021 00:002 AAPL: #[EB|CFG:ARG] boot-save-log 0x0000000000000002 (0x0000000000000002 < 0xFFFFFFFFFFFFFFFF) default
00:023 00:002 AAPL: #[EB|CFG:ARG] wake-save-log 0x0000000000000002 (0x0000000000000002 < 0x0000000000000002) default
00:026 00:002 AAPL: #[EB|CFG:ARG] console       0x0000000000000001 (0x0000000000000001 < 0x0000000000000001) default
00:029 00:002 AAPL: #[EB|CFG:ARG] serial        0x0000000000000000 (0x0000000000000000 < 0x0000000000000000) default
00:032 00:002 AAPL: #[EB|CFG:ARG] embed-log-dt  0x0000000000000000 (0x0000000000000000 < 0x0000000000000000) default
00:034 00:002 AAPL: #[EB|CFG:ARG] timestamps    0x0000000000000000 (0x0000000000000000 < 0xFFFFFFFFFFFFFFFF) default
00:037 00:002 AAPL: #[EB|CFG:ARG] log-level     0x0000000000000001 (0x0000000000000001 & 0x0000000000000021) default
00:041 00:004 AAPL: #[EB|CFG:ARG] breakpoint    0x0000000000000000 (0x0000000000000000 & 0x0000000000000000) default
00:046 00:004 AAPL: #[EB|CFG:ARG] kc-read-size  0x0000000000100000 (0x0000000000100000 < 0xFFFFFFFFFFFFFFFF) default
00:049 00:002 AAPL: #[EB|H:IS] 0
00:051 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01   0 0x00
00:054 00:002 AAPL: #[EB|BRD:NV] Mac-7BA5B2D9E42DDD94
00:057 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01   2 0x00
00:060 00:002 AAPL: #[EB.BST.IDT|+]
00:063 00:003 AAPL: #[EB.BST.IDT|-]
00:066 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01   3 0x00
00:070 00:004 AAPL: #[EB|WL] 0 0 0x01 0x01   4 0x00
00:073 00:002 AAPL: #[EB|BRD:NV] Mac-7BA5B2D9E42DDD94
00:079 00:005 AAPL: #[EB|WL] 0 0 0x01 0x01   5 0x00
00:081 00:002 AAPL: #[EB.H.CHK|BM] 0x0000000000000000
00:086 00:004 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.GV boot-signature 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:089 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01  23 0x0E
00:092 00:002 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.GV boot-image-key 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:094 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01  24 0x0E
00:097 00:002 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.GV boot-image 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:100 00:002 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.SV- boot-signature 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:105 00:004 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.SV- boot-image-key 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:109 00:004 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.SV- boot-image 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:113 00:003 AAPL: #[EB|H:NOT]
00:115 00:002 AAPL: #[EB|SB:P] 0x1
00:118 00:002 AAPL: #[EB.B.MN|BM:+SB]
00:121 00:002 AAPL: #[EB|LIMG:DP] Acpi(PNP0A03,0)/Pci(1|1)/Pci(0|0)/?[ 0x83 0x17 0x10 0x0 0x1 0x0 0x0 0x0 0x0 0x25 0x38 0x5A 0x1 0x45 0x75 0x98 ]/HD(Part5,SigB46ED30D-3726-4DB9-AB07-CDF6B101428A)/VenMedia(BE74FCF7-0B7C-49F3-9147-01F4042E6842)
00:124 00:002 AAPL: #[EB|LIMG:FP] \51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\System\Library\CoreServices\boot.efi
00:126 00:002 AAPL: #[EB|LIMG:OPT] 
00:129 00:002 AAPL: #[EB.OPT.LXF|F] <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\com.apple.Boot.plist">
00:132 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\com.apple.Boot.plist"> <"0">
00:136 00:003 AAPL: #[EB.LD.OFS|OPEN!] Err(0xE) <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\com.apple.Boot.plist">
00:140 00:004 AAPL: #[EB.OPT.LXF|LF!] Err(0xE)
00:143 00:002 AAPL: #[EB.OPT.LXF|F] <"Library\\Preferences\\SystemConfiguration\\com.apple.Boot.plist">
00:146 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"Library\\Preferences\\SystemConfiguration\\com.apple.Boot.plist"> <"0">
00:149 00:003 AAPL: #[EB|KF] <"">
00:152 00:002 AAPL: #[EB|MBA:CL] <"">
00:155 00:002 AAPL: #[EB|MBA:NV] <"-v keepsyms=1 debug=0x100 alcid=1 agdpmod=pikera slide=198">
00:158 00:002 AAPL: #[EB|MBA:KF] <"">
00:160 00:002 AAPL: #[EB|MBA:OUT] <"-v keepsyms=1 debug=0x100 alcid=1 agdpmod=pikera slide=198 chunklist-security-epoch=0 -chunklist-no-rev2-dev">
00:165 00:004 AAPL: #[EB|LOG:VERBOSE] 2021-04-05T22:14:08
00:168 00:003 AAPL: #[EB.CSR.S|VAR] 0x00000040
00:172 00:004 AAPL: #[EB|OPT:BM] 0x280182
00:175 00:002 AAPL: #[EB.OPT.LXF|F] <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\PlatformSupport.plist">
00:178 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\PlatformSupport.plist"> <"0">
00:181 00:003 AAPL: #[EB|B:VAw]
00:184 00:002 AAPL: #[EB|P:CPR] N
00:187 00:002 AAPL: #[EB|P:MPI] N
00:190 00:003 AAPL: #[EB|P:BPI] N
00:193 00:003 AAPL: #[EB|KMR] 374128640
00:197 00:004 AAPL: #[EB.CS.CSKSD|+]
00:205 00:007 AAPL: #[EB.CS.CSKSD|!] Err(0xE) <- RT.GV boot-info-payload 8D63D4FE-BD3C-4AAD-881D-86FD974BC1DF
00:207 00:002 AAPL: #[EB|WL] 0 0 0x01 0x01   6 0x0E
00:210 00:002 AAPL: #[EB.CS.LFC|+]
00:213 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"System\\Library\\Caches\\com.apple.corestorage\\EncryptedRoot.plist.wipekey"> <"0">
00:218 00:005 AAPL: #[EB.FS.AGSVH|PU] 51F93570-FFBC-4E6E-913D-ED18CB0D6E7B
00:221 00:002 AAPL: #[EB.FS.AGSVH|!] Err(0xE) <- BS.LocHB 59D76AE4-37E3-55A7-B460-EF13D46E6020
00:224 00:002 AAPL: #[EB.G.CS|-?] Ok(0)
00:227 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"<null string>"> <"1">
00:233 00:006 AAPL: #[EB.B.SBS|SZ] 739896
00:239 00:005 AAPL: #[EB|B:SHA] <4864e70b6b49cebb543fd0a4dd82eddb4c02bb99>
00:244 00:004 AAPL: #[EB.WL.PWLFNV|!] Err(0xE) <- RT.GV wake-failure 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:247 00:002 AAPL: #[EB.WL.DT|!] Err(0xE) <- EB.WL.PWLFNV
