00:000 00:000 AAPL: #[EB|LOG:INIT] 2021-04-05T21:51:27
00:001 00:001 AAPL: #[EB|VERSION] <"boot.efi 495.80.3~11 (Official), built 2020-12-21T21:10:06-0800">
00:003 00:001 AAPL: #[EB|BUILD] <"BUILD-INFO[298]:{"DisplayName":"boot.efi","DisplayVersion":"495.80.3~11","RecordUuid":"0B2238C1-809C-49D2-B102-CD53614FF265","BuildTime":"2020-12-21T21:10:06-0800","ProjectName":"efiboot","ProductName":"boot.efi","SourceVersion":"495.80.3","BuildVersion":"11","BuildConfiguration":"Release","BuildType":"Official"}">
00:004 00:001 AAPL: #[EB|CFG:DEV] r2 0x0 0x0
00:006 00:001 AAPL: #[EB|H:IS] 0
00:007 00:001 AAPL: #[EB|WL:MODE] 0
00:009 00:001 AAPL: #[EB|CFG:ARG] boot-save-log 0x0000000000000002 (0x0000000000000002 < 0xFFFFFFFFFFFFFFFF) default
00:010 00:001 AAPL: #[EB|CFG:ARG] wake-save-log 0x0000000000000002 (0x0000000000000002 < 0x0000000000000002) default
00:011 00:001 AAPL: #[EB|CFG:ARG] console       0x0000000000000001 (0x0000000000000001 < 0x0000000000000001) default
00:013 00:001 AAPL: #[EB|CFG:ARG] serial        0x0000000000000000 (0x0000000000000000 < 0x0000000000000000) default
00:014 00:001 AAPL: #[EB|CFG:ARG] embed-log-dt  0x0000000000000000 (0x0000000000000000 < 0x0000000000000000) default
00:016 00:001 AAPL: #[EB|CFG:ARG] timestamps    0x0000000000000000 (0x0000000000000000 < 0xFFFFFFFFFFFFFFFF) default
00:017 00:001 AAPL: #[EB|CFG:ARG] log-level     0x0000000000000001 (0x0000000000000001 & 0x0000000000000021) default
00:019 00:001 AAPL: #[EB|CFG:ARG] breakpoint    0x0000000000000000 (0x0000000000000000 & 0x0000000000000000) default
00:020 00:001 AAPL: #[EB|CFG:ARG] kc-read-size  0x0000000000100000 (0x0000000000100000 < 0xFFFFFFFFFFFFFFFF) default
00:022 00:001 AAPL: #[EB|H:IS] 0
00:023 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01   0 0x00
00:024 00:001 AAPL: #[EB|BRD:NV] Mac-7BA5B2D9E42DDD94
00:026 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01   2 0x00
00:027 00:001 AAPL: #[EB.BST.IDT|+]
00:030 00:002 AAPL: #[EB.BST.IDT|-]
00:031 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01   3 0x00
00:033 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01   4 0x00
00:034 00:001 AAPL: #[EB|BRD:NV] Mac-7BA5B2D9E42DDD94
00:035 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01   5 0x00
00:037 00:001 AAPL: #[EB.H.CHK|BM] 0x0000000000000000
00:038 00:001 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.GV boot-signature 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:040 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01  23 0x0E
00:041 00:001 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.GV boot-image-key 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:043 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01  24 0x0E
00:044 00:001 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.GV boot-image 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:046 00:001 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.SV- boot-signature 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:047 00:001 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.SV- boot-image-key 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:049 00:001 AAPL: #[EB.H.LV|!] Err(0xE) <- RT.SV- boot-image 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:050 00:001 AAPL: #[EB|H:NOT]
00:052 00:001 AAPL: #[EB|SB:P] 0x1
00:053 00:001 AAPL: #[EB.B.MN|BM:+SB]
00:055 00:001 AAPL: #[EB|LIMG:DP] Acpi(PNP0A03,0)/Pci(1|1)/Pci(0|0)/?[ 0x83 0x17 0x10 0x0 0x1 0x0 0x0 0x0 0x0 0x25 0x38 0x5A 0x1 0x45 0x75 0x98 ]/HD(Part5,SigB46ED30D-3726-4DB9-AB07-CDF6B101428A)/VenMedia(BE74FCF7-0B7C-49F3-9147-01F4042E6842)
00:056 00:001 AAPL: #[EB|LIMG:FP] \51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\System\Library\CoreServices\boot.efi
00:058 00:001 AAPL: #[EB|LIMG:OPT] 
00:059 00:001 AAPL: #[EB.OPT.LXF|F] <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\com.apple.Boot.plist">
00:061 00:001 AAPL: #[EB.LD.LF|IN] 0 1 <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\com.apple.Boot.plist"> <"0">
00:062 00:001 AAPL: #[EB.LD.OFS|OPEN!] Err(0xE) <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\com.apple.Boot.plist">
00:064 00:001 AAPL: #[EB.OPT.LXF|LF!] Err(0xE)
00:065 00:001 AAPL: #[EB.OPT.LXF|F] <"Library\\Preferences\\SystemConfiguration\\com.apple.Boot.plist">
00:070 00:004 AAPL: #[EB.LD.LF|IN] 0 1 <"Library\\Preferences\\SystemConfiguration\\com.apple.Boot.plist"> <"0">
00:075 00:005 AAPL: #[EB|KF] <"">
00:076 00:001 AAPL: #[EB|MBA:CL] <"">
00:078 00:001 AAPL: #[EB|MBA:NV] <"-v keepsyms=1 debug=0x100 alcid=1 agdpmod=pikera slide=231">
00:079 00:001 AAPL: #[EB|MBA:KF] <"">
00:081 00:001 AAPL: #[EB|MBA:OUT] <"-v keepsyms=1 debug=0x100 alcid=1 agdpmod=pikera slide=231 chunklist-security-epoch=0 -chunklist-no-rev2-dev">
00:082 00:001 AAPL: #[EB|LOG:VERBOSE] 2021-04-05T21:51:27
00:083 00:001 AAPL: #[EB.CSR.S|VAR] 0x00000040
00:085 00:001 AAPL: #[EB|OPT:BM] 0x280182
00:086 00:001 AAPL: #[EB.OPT.LXF|F] <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\PlatformSupport.plist">
00:088 00:001 AAPL: #[EB.LD.LF|IN] 0 1 <"\\51F93570-FFBC-4E6E-913D-ED18CB0D6E7B\\System\\Library\\CoreServices\\PlatformSupport.plist"> <"0">
00:090 00:001 AAPL: #[EB|B:VAw]
00:091 00:001 AAPL: #[EB|P:CPR] N
00:093 00:001 AAPL: #[EB|P:MPI] N
00:094 00:001 AAPL: #[EB|P:BPI] N
00:096 00:001 AAPL: #[EB|KMR] 374128640
00:097 00:001 AAPL: #[EB.CS.CSKSD|+]
00:099 00:001 AAPL: #[EB.CS.CSKSD|!] Err(0xE) <- RT.GV boot-info-payload 8D63D4FE-BD3C-4AAD-881D-86FD974BC1DF
00:101 00:001 AAPL: #[EB|WL] 0 0 0x01 0x01   6 0x0E
00:102 00:001 AAPL: #[EB.CS.LFC|+]
00:104 00:001 AAPL: #[EB.LD.LF|IN] 0 1 <"System\\Library\\Caches\\com.apple.corestorage\\EncryptedRoot.plist.wipekey"> <"0">
00:108 00:004 AAPL: #[EB.FS.AGSVH|PU] 51F93570-FFBC-4E6E-913D-ED18CB0D6E7B
00:110 00:001 AAPL: #[EB.FS.AGSVH|!] Err(0xE) <- BS.LocHB 59D76AE4-37E3-55A7-B460-EF13D46E6020
00:111 00:001 AAPL: #[EB.G.CS|-?] Ok(0)
00:113 00:001 AAPL: #[EB.LD.LF|IN] 0 1 <"<null string>"> <"1">
00:116 00:002 AAPL: #[EB.B.SBS|SZ] 739896
00:120 00:004 AAPL: #[EB|B:SHA] <4864e70b6b49cebb543fd0a4dd82eddb4c02bb99>
00:122 00:001 AAPL: #[EB.WL.PWLFNV|!] Err(0xE) <- RT.GV wake-failure 7C436110-AB2A-4BBB-A880-FE41995C9F82
00:124 00:001 AAPL: #[EB.WL.DT|!] Err(0xE) <- EB.WL.PWLFNV
00:126 00:001 AAPL: #[EB.WL.PWLFRTC|NONE]
00:127 00:001 AAPL: #[EB.WL.DT|!] Err(0xE) <- EB.WL.PWLFRTC
00:129 00:002 AAPL: #[EB.LD.LKC|D] <"boot\System\Library\KernelCollections\BootKernelExtensions.kc.development">
00:131 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.development"> <"0">
00:134 00:002 AAPL: #[EB.LD.OFS|OPEN!] Err(0xE) <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.development">
00:136 00:001 AAPL: #[EB.LD.LKC|R.2] <"boot\System\Library\KernelCollections\BootKernelExtensions.kc">
00:138 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc"> <"0">
01:274 01:136 AAPL: #[EB|SB:P] 0x1
01:276 00:001 AAPL: #[EB|SB:SBGMFNS] j137ap.im4m
01:278 00:001 AAPL: #[EB|SB:MF] boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.j137ap.im4m
01:280 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"boot\\System\\Library\\KernelCollections\\BootKernelExtensions.kc.j137ap.im4m"> <"0">
01:524 00:243 AAPL: #[EB|SB:MKRN]
01:535 00:010 AAPL: #[EB.LD.LKFS|-?] Ok(0)
01:536 00:001 AAPL: #[EB.LD.LKC|-?] Ok(0)
01:540 00:004 AAPL: #[EB|FWFM] 0x00000000FF9FFF3F
01:542 00:001 AAPL: #[EB|FWFT] 0x00000000FD8FF53E
01:543 00:001 AAPL: #[EB|BST:REV1]
01:548 00:004 AAPL: #[EB|CSR:OUT] 0x00000040
01:549 00:001 AAPL: #[EB.BST.FBS|+]
01:551 00:001 AAPL: #[EB.BST.FBS|ADSZ] 0
01:552 00:001 AAPL: #[EB.BST.FBS|KSSZ] 0
01:554 00:001 AAPL: #[EB|SB:SBGMFNS] j137ap.im4m
01:556 00:001 AAPL: #[EB|RH:PF] usr\standalone\OS.dmg.root_hash
01:558 00:001 AAPL: #[EB|RH:MF] <"usr\\standalone\\OS.dmg.root_hash.j137ap.im4m">
01:559 00:001 AAPL: #[EB.LD.LF|IN] 0 1 <"usr\\standalone\\OS.dmg.root_hash"> <"0">
01:562 00:002 AAPL: #[EB.LD.LF|IN] 0 1 <"usr\\standalone\\OS.dmg.root_hash.j137ap.im4m"> <"0">
01:564 00:001 AAPL: #[EB.BST.FBS|RHPSZ] 229
01:565 00:001 AAPL: #[EB.BST.FBS|RHMSZ] 3626
01:567 00:001 AAPL: #[EB.B.WFDW|!WF] Err(0xE) 0
01:569 00:001 AAPL: #[EB|LOG:DT] 2021-04-05T21:51:29
01:571 00:001 AAPL: #[EB|LOG:EXITBS:START] 2021-04-05T21:51:29
